site_id,therapeutic_area,indication,planned_start_date,site_startup_days,fpi_date,enrollment_months,target_enrollment,actual_enrollment,avg_enroll_rate_per_month,screen_fail_rate,protocol_deviation_rate,data_entry_lag_days,retention_rate,competing_trials_same_ta
SITE1000,Oncology,Prostate,2023-06-01,65,2023-08-05,12,33,30,3.39,0.17,0.0,6,0.9,2
SITE1000,Oncology,Breast Cancer,2018-01-05,51,2018-02-25,8,53,49,7.31,0.1,0.0,0,0.91,1
SITE1000,Neurology,MS,2022-07-03,63,2022-09-04,13,41,45,3.09,0.12,0.0,9,0.71,1
SITE1000,Oncology,CRC,2021-03-16,60,2021-05-15,4,32,35,7.62,0.23,0.0,7,0.85,2
SITE1000,Endocrinology,Obesity,2017-07-26,65,2017-09-29,11,40,34,3.89,0.15,0.06,5,0.9,1
SITE1000,Oncology,Prostate,2017-09-19,52,2017-11-10,8,52,58,6.61,0.34,0.04,2,0.99,0
SITE1001,Oncology,Breast Cancer,2020-02-18,49,2020-04-07,3,29,22,8.56,0.35,0.07,6,0.81,2
SITE1001,Oncology,NSCLC,2017-11-24,97,2018-03-01,5,35,35,7.46,0.24,0.01,3,0.94,2
SITE1001,Neurology,Epilepsy,2017-06-07,65,2017-08-11,8,28,29,4.35,0.3,0.06,9,0.79,0
SITE1001,Neurology,Epilepsy,2017-06-07,52,2017-07-29,13,30,34,2.49,0.1,0.02,0,0.72,3
SITE1001,Cardiology,AF,2022-02-23,76,2022-05-10,11,40,35,4.47,0.17,0.07,7,0.92,3
SITE1002,Oncology,Melanoma,2022-11-22,84,2023-02-14,8,58,58,6.88,0.24,0.05,7,0.93,2
SITE1002,Neurology,Epilepsy,2022-03-25,85,2022-06-18,6,45,51,7.25,0.27,0.07,3,0.89,3
SITE1002,Oncology,Breast Cancer,2017-01-07,99,2017-04-16,18,28,29,2.71,0.31,0.07,7,0.84,0
SITE1002,Oncology,CRC,2023-03-03,60,2023-05-02,15,21,18,0.74,0.43,0.04,4,0.85,1
SITE1002,Oncology,CRC,2019-04-04,61,2019-06-04,9,32,40,2.74,0.19,0.06,0,0.82,2
SITE1002,Oncology,Breast Cancer,2021-06-06,28,2021-07-04,12,11,15,0.2,0.13,0.1,8,0.99,3
SITE1002,Oncology,Breast Cancer,2019-08-03,37,2019-09-09,8,37,35,5.26,0.18,0.07,4,0.77,2
SITE1002,Endocrinology,Obesity,2017-09-25,28,2017-10-23,13,6,9,1.08,0.16,0.05,0,0.91,4
SITE1003,Cardiology,HF,2019-03-14,65,2019-05-18,11,32,34,3.01,0.25,0.06,6,0.83,2
SITE1003,Oncology,Breast Cancer,2018-11-27,91,2019-02-26,11,17,17,2.48,0.06,0.04,6,0.86,1
SITE1003,Oncology,NSCLC,2022-12-03,62,2023-02-03,10,22,15,2.91,0.22,0.03,0,0.89,4
SITE1004,Oncology,Melanoma,2022-12-18,45,2023-02-01,7,48,39,7.61,0.11,0.04,4,0.81,3
SITE1004,Oncology,NSCLC,2021-04-10,68,2021-06-17,9,57,61,5.86,0.19,0.04,5,0.95,1
SITE1004,Neurology,Epilepsy,2022-10-06,74,2022-12-19,6,14,12,1.94,0.18,0.0,7,0.92,0
SITE1004,Cardiology,AF,2018-09-11,72,2018-11-22,9,42,34,4.41,0.11,0.09,0,0.97,1
SITE1004,Neurology,MS,2023-03-15,64,2023-05-18,9,45,37,4.41,0.18,0.03,3,0.83,0
SITE1004,Oncology,Melanoma,2018-06-07,76,2018-08-22,8,39,33,5.44,0.17,0.07,5,0.77,2
SITE1004,Cardiology,ACS,2024-03-23,48,2024-05-10,3,31,32,10.0,0.29,0.01,5,0.9,4
SITE1004,Neurology,Epilepsy,2019-10-04,87,2019-12-30,8,38,33,5.57,0.24,0.02,0,0.98,3
SITE1005,Oncology,Breast Cancer,2021-06-30,115,2021-10-23,13,47,38,4.39,0.26,0.03,8,0.96,0
SITE1005,Oncology,NSCLC,2017-10-20,108,2018-02-05,6,31,33,4.49,0.37,0.05,5,0.83,4
SITE1005,Oncology,NSCLC,2018-01-05,80,2018-03-26,3,31,26,10.0,0.22,0.01,2,0.94,1
SITE1005,Neurology,MS,2018-05-19,56,2018-07-14,3,53,51,10.0,0.15,0.04,1,0.75,4
SITE1005,Endocrinology,T2D,2022-07-07,121,2022-11-05,7,58,50,7.41,0.11,0.05,6,0.88,3
SITE1006,Oncology,CRC,2017-09-20,87,2017-12-16,12,10,4,0.91,0.17,0.03,3,0.82,3
SITE1006,Oncology,Melanoma,2018-10-02,37,2018-11-08,7,11,11,1.63,0.29,0.06,8,0.98,1
SITE1006,Oncology,CRC,2017-04-30,77,2017-07-16,14,16,11,1.19,0.3,0.02,4,0.85,4
SITE1006,Cardiology,AF,2020-05-29,78,2020-08-15,11,39,37,3.29,0.08,0.07,3,0.92,2
SITE1007,Neurology,Epilepsy,2020-02-20,78,2020-05-08,12,53,52,4.15,0.09,0.03,4,0.88,2
SITE1007,Oncology,Prostate,2019-10-14,81,2020-01-03,9,34,31,4.06,0.08,0.0,5,0.97,1
SITE1007,Cardiology,ACS,2020-11-14,63,2021-01-16,21,7,4,0.2,0.17,0.07,3,0.84,2
