site_id,response_received,survey_sent,survey_sent_at,response_received_at,reminder_count,days_open,survey_template,secure_link,last_updated
SITE1000,False,True,,,0,0,,,
SITE1001,True,True,,,0,0,,,
SITE1002,True,True,,,0,0,,,
SITE1003,True,True,,,0,0,,,
SITE1004,True,True,,,0,0,,,
SITE1005,True,True,,,0,0,,,
SITE1006,True,True,,,0,0,,,
SITE1007,True,True,,,0,0,,,
SITE1008,True,True,,,0,0,,,
SITE1009,True,True,,,0,0,,,
SITE1010,True,True,,,0,0,,,
SITE1011,True,True,,,0,0,,,
SITE1012,True,True,,,0,0,,,
SITE1013,True,True,,,0,0,,,
SITE1014,True,True,,,0,0,,,
SITE1015,True,True,,,0,0,,,
SITE1016,True,True,,,0,0,,,
SITE1017,True,True,,,0,0,,,
SITE1018,True,True,,,0,0,,,
SITE1019,True,True,,,0,0,,,
SITE1020,True,True,,,0,0,,,
SITE1021,True,True,,,0,0,,,
SITE1022,True,True,,,0,0,,,
SITE1023,True,True,,,0,0,,,
SITE1024,True,True,,,0,0,,,
SITE1025,True,True,,,0,0,,,
SITE1026,True,True,,,0,0,,,
SITE1027,True,True,,,0,0,,,
SITE1028,True,True,,,0,0,,,
SITE1029,True,True,,,0,0,,,
SITE1030,True,True,,,0,0,,,
SITE1031,True,True,4/9/2026 15:35,,0,0,Oncology-NSCLC-feasibility,https://secure-survey.local/site1031,4/9/2026 15:35
SITE1032,False,True,,,0,0,,,
SITE1033,False,True,,,0,0,,,
SITE1034,False,True,,,0,0,,,
SITE1035,False,True,,,0,0,,,
SITE1036,False,True,,,0,0,,,
SITE1037,False,True,,,0,0,,,
SITE1038,False,True,,,0,0,,,
SITE1039,False,True,,,0,0,,,
SITE1040,False,True,,,0,0,,,
SITE1041,False,True,,,0,0,,,
SITE1042,False,True,,,0,0,,,
SITE1043,False,True,,,0,0,,,
SITE1044,False,True,,,0,0,,,
SITE1045,False,True,,,0,0,,,
SITE1046,False,True,,,0,0,,,
SITE1047,False,True,,,0,0,,,
SITE1048,True,True,,,0,0,,,
SITE1049,True,True,,,0,0,,,
SITE1050,True,True,,,0,0,,,
SITE1051,True,True,,,0,0,,,
SITE1052,True,True,,,0,0,,,
SITE1053,True,True,,,0,0,,,
SITE1054,True,True,,,0,0,,,
SITE1055,True,True,,,0,0,,,
SITE1056,True,True,,,0,0,,,
SITE1057,True,True,,,0,0,,,
SITE1058,True,True,,,0,0,,,
SITE1059,True,True,,,0,0,,,
SITE1060,True,True,,,0,0,,,
SITE1061,True,True,,,0,0,,,
SITE1062,False,True,,,0,0,,,
SITE1063,False,True,,,0,0,,,
SITE1064,False,True,,,0,0,,,
SITE1065,False,True,,,0,0,,,
SITE1066,False,True,,,0,0,,,
SITE1067,False,True,,,0,0,,,
SITE1068,False,True,,,0,0,,,
SITE1069,False,True,,,0,0,,,
SITE1070,False,True,,,0,0,,,
SITE1071,False,True,,,0,0,,,
SITE1072,False,True,,,0,0,,,
SITE1073,False,True,,,0,0,,,
SITE1074,False,True,,,0,0,,,
SITE1075,False,True,,,0,0,,,
SITE1076,False,True,,,0,0,,,
SITE1077,False,True,,,0,0,,,
SITE1078,False,True,,,0,0,,,
SITE1079,False,True,,,0,0,,,
SITE1080,False,True,,,0,0,,,
SITE1081,False,True,,,0,0,,,
SITE1082,False,True,,,0,0,,,
SITE1083,False,True,,,0,0,,,
SITE1084,False,True,,,0,0,,,
SITE1085,False,True,,,0,0,,,
SITE1086,False,True,,,0,0,,,
SITE1087,False,True,,,0,0,,,
SITE1088,False,True,,,0,0,,,
SITE1089,False,True,,,0,0,,,
SITE1090,False,True,,,0,0,,,
SITE1091,False,True,,,0,0,,,
SITE1092,False,True,,,0,0,,,
SITE1093,False,True,,,0,0,,,
SITE1094,False,True,,,0,0,,,
SITE1095,False,True,,,0,0,,,
SITE1096,False,True,,,0,0,,,
SITE1097,False,True,,,0,0,,,
SITE1098,False,True,,,0,0,,,
SITE1099,False,True,,,0,0,,,
SITE1100,True,True,,,0,0,,,
SITE1101,True,True,,,0,0,,,
SITE1102,True,True,,,0,0,,,
SITE1103,True,True,,,0,0,,,
SITE1104,True,True,,,0,0,,,
SITE1105,True,True,,,0,0,,,
SITE1106,True,True,,,0,0,,,
SITE1107,True,True,,,0,0,,,
SITE1108,True,True,,,0,0,,,
SITE1109,True,True,,,0,0,,,
SITE1110,True,True,,,0,0,,,
SITE1111,True,True,,,0,0,,,
SITE1112,True,True,,,0,0,,,
SITE1113,True,True,,,0,0,,,
SITE1114,True,True,,,0,0,,,
SITE1115,True,True,,,0,0,,,
SITE1116,True,True,,,0,0,,,
SITE1117,True,True,,,0,0,,,
SITE1118,True,True,,,0,0,,,
SITE1119,True,True,,,0,0,,,
SITE1120,True,True,,,0,0,,,
SITE1121,True,True,,,0,0,,,
SITE1122,True,True,,,0,0,,,
